label,n,mean,std,min,p25,median,p75,max,above_threshold
ID (test),10,0.5399910807609558,0.0600668266415596,0.44649985432624817,0.4998086392879486,0.5366729497909546,0.5653263330459595,0.6666023135185242,0
OOD (spike),10,1.0,0.0,1.0,1.0,1.0,1.0,1.0,10
OOD (noise),10,0.5367764234542847,0.0569678395986557,0.46232011914253235,0.4820033311843872,0.5361999869346619,0.5816172361373901,0.6450062394142151,0
OOD (mask),10,0.9881505966186523,0.021857628598809242,0.9355370998382568,0.9923607110977173,1.0,1.0,1.0,10
OOD (scale),10,0.968608021736145,0.09417595714330673,0.6860801577568054,1.0,1.0,1.0,1.0,9
